Cantidad de nodos:100

0	1	387.0
1	0	387.0
0	2	553.0
2	0	553.0
0	3	101.0
3	0	101.0
1	2	671.0
2	1	671.0
1	3	409.0
3	1	409.0
1	4	460.0
0	4	259.0
4	0	259.0
0	5	353.0
5	0	353.0
4	1	460.0
1	5	346.0
5	1	346.0
3	2	653.0
2	3	653.0
6	0	210.0
0	7	107.0
0	6	210.0
4	2	294.0
3	4	359.0
7	0	107.0
1	6	341.0
5	2	326.0
4	3	359.0
6	1	341.0
1	7	303.0
5	3	444.0
3	5	444.0
7	1	303.0
2	5	326.0
2	4	294.0
8	1	716.0
0	8	531.0
8	0	531.0
6	2	743.0
0	9	292.0
9	0	292.0
1	8	716.0
4	5	197.0
1	9	670.0
2	7	617.0
7	3	108.0
9	1	670.0
7	2	617.0
3	7	108.0
5	4	197.0
3	6	139.0
2	6	743.0
6	3	139.0
1	10	726.0
0	10	430.0
10	0	430.0
2	9	701.0
4	6	453.0
9	2	701.0
0	11	353.0
11	0	353.0
10	1	726.0
8	2	1079.0
1	11	721.0
4	7	328.0
8	3	431.0
11	1	721.0
6	4	453.0
6	5	486.0
3	9	268.0
5	6	486.0
5	7	367.0
9	3	268.0
3	8	431.0
2	8	1079.0
7	5	367.0
7	4	328.0
1	13	792.0
0	12	457.0
12	0	457.0
10	2	324.0
8	4	788.0
0	13	409.0
13	0	409.0
6	7	126.0
4	9	449.0
9	4	449.0
5	8	867.0
7	6	126.0
1	12	809.0
3	10	510.0
9	5	611.0
3	11	312.0
8	5	867.0
11	3	312.0
2	11	776.0
5	9	611.0
4	8	788.0
12	1	809.0
13	1	792.0
10	3	510.0
2	10	324.0
11	2	776.0
0	15	234.0
0	14	554.0
14	0	554.0
7	8	501.0
13	2	627.0
13	3	429.0
10	4	271.0
5	11	682.0
15	0	234.0
11	5	682.0
7	9	368.0
3	12	510.0
12	3	510.0
1	14	687.0
14	1	687.0
1	15	500.0
6	8	394.0
9	7	368.0
2	13	627.0
4	10	271.0
4	11	524.0
11	4	524.0
15	1	500.0
12	2	494.0
5	10	453.0
3	13	429.0
10	5	453.0
9	6	390.0
8	6	394.0
2	12	494.0
6	9	390.0
8	7	501.0
0	17	387.0
1	16	880.0
0	16	519.0
16	0	519.0
13	4	447.0
15	2	782.0
15	3	136.0
6	10	639.0
6	11	419.0
13	5	640.0
10	6	639.0
9	8	466.0
7	10	531.0
17	0	387.0
3	14	654.0
14	2	26.0
7	11	418.0
12	4	390.0
4	13	447.0
16	1	880.0
1	17	771.0
12	5	586.0
4	12	390.0
5	12	586.0
11	6	419.0
2	15	782.0
17	1	771.0
14	3	654.0
11	7	418.0
10	7	531.0
8	9	466.0
5	13	640.0
2	14	26.0
3	15	136.0
0	19	435.0
0	18	346.0
